ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
N,78,0.86,Çc,Çs,150,49,,1969,38,0,,0,"1,610,800","505,248","1,077,235","2,786,096","218,766",1,1,1,1,1,0.205,0.01,100,0.96,"8,782","5,950",0.61,1.218,0.059,17,1.69,"10,475",1.08,B
N,79,1,Çc,Çs,200,377,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,696,952",1,1,1,1,1,0.205,0.077,13,2.06,"68,118","18,581",0.25,1.218,0.46,2,10.88,"98,134",1.31,B
N,80,0.86,Çc,Çs,200,153,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","689,565",1,1,1,1,1,0.205,0.031,32,1.17,"27,680","7,803",0.26,1.218,0.187,5,4.61,"30,744",1.01,B
N,81,0.86,Çc,Ç`,300,97,,1970,37,0,,0,"1,610,800","505,248","1,077,235","2,786,096","435,549",1,1,1,1,1,0.205,0.02,50,0.96,"17,484","6,158",0.32,1.218,0.118,8,3.05,"19,566",1.02,B
N,82,1.07,Çc,ÇrÇQ,200,1,,1989,18,0,,0,"536,574","505,248","1,077,235","2,786,096","4,111",1,1,1,1,1,0.205,0,5332,0.96,165,"4,713",25.92,1.218,0.001,898,0.96,"4,713",25.92,A
N,83,1.07,Çc,ÇrÇQ,200,1,,1989,18,0,,0,"536,574","505,248","1,077,235","2,786,096","5,987",1,1,1,1,1,0.205,0,3661,0.96,240,"4,715",17.83,1.218,0.002,617,0.96,"4,715",17.83,A
N,84,1.07,Çc,Çs,200,11,,1985,22,0,,0,"536,574","505,248","1,077,235","2,786,096","47,529",1,1,1,1,1,0.205,0.002,461,0.96,"1,908","4,755",2.26,1.218,0.013,78,0.96,"4,755",2.26,A
N,85,1.07,Çc,Çs,150,2,,1990,17,0,,0,"536,574","505,248","1,077,235","2,786,096","10,851",1,1,1,1,1,0.205,0,2020,0.96,436,"4,719",9.82,1.218,0.003,340,0.96,"4,719",9.82,A
N,86,1.07,Çc,Çj,150,3,,1996,11,0,,0,"536,574","505,248","1,077,235","2,786,096","11,825",1,1,1,1,1,0.205,0.001,1854,0.96,475,"4,720",9.02,1.218,0.003,312,0.96,"4,720",9.02,A
N,87,1.07,Çc,Çs,150,68,,1989,18,0,,0,"2,954,136","505,248","1,077,235","2,786,096","307,674",1,1,1,1,1,0.205,0.014,71,0.96,"12,350","7,325",0.54,1.218,0.083,12,2.19,"16,711",1.23,B
